,run,average_10,gen
733,733,5.492,mal
734,734,5.948,mal
735,735,5.8629999999999995,mal
736,736,5.186,mal
737,737,5.141,mal
738,738,4.85,mal
739,739,5.889,mal
740,740,5.701,mal
741,741,6.069999999999999,mal
742,742,6.047,mal
743,743,5.509,mal
744,744,5.689,mal
745,745,6.897,mal
746,746,4.794,mal
747,747,5.1530000000000005,mal
748,748,6.63,mal
749,749,5.41,mal
750,750,5.582000000000001,mal
751,751,5.683,mal
752,752,5.827999999999999,mal
753,753,5.455,mal
754,754,4.674000000000001,mal
755,755,5.777,mal
756,756,5.534,mal
757,757,5.156,mal
758,758,5.954,mal
759,759,5.2219999999999995,mal
760,760,6.314,mal
761,761,5.6370000000000005,mal
762,762,5.856,mal
763,763,6.121,mal
764,764,5.929,mal
765,765,5.752999999999999,mal
766,766,6.619,mal
767,767,5.931,mal
